id	copy.x	copy.y
Sample.01	1.88	0.86
Sample.02	1	0.88
Sample.03	1	0.88
Sample.04	0.96	0.88
Sample.05	3.58	0.88
Sample.06	1.98	0
Sample.07	0.98	0.86
Sample.08	0.98	0.86
Sample.09	0.98	0.88
Sample.10	1.88	0
Sample.11	1	1.76
Sample.12	1	0.58
Sample.13	1.86	0.02
Sample.14	1	0.86
Sample.15	1.94	0
Sample.16	1.9	0
Sample.17	1.88	0
Sample.18	1	0.86
Sample.19	1.84	0.82
Sample.20	0.98	0.86
Sample.21	1.88	0
Sample.22	1.94	0
Sample.23	0.98	0.82
Sample.24	0.98	0.02
